Unique Lake,Latitude,Longitude,Lake Name
BRA10115,-19.02194444,-50.49194444,S?Ã¹Â®o Sim?Ã¹Â®o
BRA10112,-18.50166667,-49.49083333,Cachoeira Dourada
BOL10099,-18.09441,-67.0961,Uru Uru
BRA10116,-17.9892,-48.5317,Corumb
BRA10113,-15.34833333,-49.81388889,S?Ã¹Â®o Patricio
PER12100,-15.3185605,-75.27425133,South Pacific Ocean (Peruvian coast)
BRA10117,-13.83416667,-48.30444444,Serra da Mesa
BRA10103,-13.49722222,-48.12583333,Ca Brava
IDN10976,-6.9125,107.366,Saguling Reservoir
BRA10114,-5.75,-43.083,Castelhano
BRA10119,-5.4975148,-38.446833,Castanhao Reservoir
ECU10715,-2.93138889,-79.24611111,Chusalongo
ECU10721,-2.91166667,-79.25527778,EC Izhcayrrumi
BRA10102,-2.894444,-64.977444,Mamiraua
ECU10711,-2.89416667,-79.29138889,pal?Ã¹Â® Via
ECU10726,-2.88666667,-79.29305556,Tinguercocha
ECU10705,-2.87916667,-79.26611111,Ventas
ECU10728,-2.86916667,-79.23444444,Hunchi
ECU10704,-2.86694444,-79.29972222,Angas
ECU10727,-2.86388889,-79.29805556,Dublay Cocha
ECU10720,-2.85944444,-79.21583333,Verdes
ECU10706,-2.8575,-79.22916667,Lagartococha
ECU10725,-2.85277778,-79.3425,EC Canoas
ECU10729,-2.84277778,-79.14666667,Llaviucu
ECU10724,-2.83916667,-79.30472222,Atugyacu Grande
ECU10719,-2.83305556,-79.34444444,Yantahuayco
ECU10732,-2.82916667,-79.28944444,Sunincocha Grande
ECU10717,-2.82583333,-79.25555556,Chica Canutillos
ECU10703,-2.81916667,-79.2575,Canutillos Grande
ECU10710,-2.81888889,-79.29777778,Sunincocha Peque?Ã¹Â®a
ECU10722,-2.80777778,-79.21333333,Burin Grande
ECU10733,-2.80166667,-79.26722222,Luspa
ECU10723,-2.79916667,-79.25111111,Togllacocha
ECU10712,-2.79333333,-79.20194444,Cucheros
ECU10731,-2.79333333,-79.245,Larga
ECU10716,-2.78194444,-79.20888889,Patoquinuas
ECU10707,-2.78055556,-79.22,Marmolcocha
ECU10708,-2.77916667,-79.23111111,Illincocha
ECU10730,-2.77916667,-79.22472222,Toreadora
ECU10713,-2.77138889,-79.23388889,Pallcacocha
ECU10714,-2.77,-79.19916667,Taquiurco
ECU10718,-2.76555556,-79.23111111,Ri?Ã¹Â®oncocha
ECU10709,-2.75388889,-79.23194444,Pi?Ã¹Â®ancocha
TZA12582,-2.705,32.991,TL 200
BRA10100,-2.26222222,-55.45569444,Lago Grande Do Curuai
BRA10101,-1.94977778,-55.57233333,Curuai Lake
UGA12564,-0.7558,33.4384,Victoria
UGA12567,-0.5746,30.9893,Mburo
KEN11053,-0.08737,34.74858,KISAT - R/MOUTH
UGA12565,0.517,30.3028,Nkuruba
UGA12566,0.701,30.2167,Saka
SGP12253,1.25039,103.8137,Tasik Sentosa
MYS11076,1.4139,110.1511,Tasik Biru
MYS11077,3.113,101.5833,Tasik Bandaran Kela 1
MYS11078,3.2268,101.6491,Tasik Metropolitan Kepong
MYS11075,3.45,101.6833,Tasik Hulu Yam
MYS11074,3.5536,101.65,Tasik Kuala Kubu 1
FRA10874,4.745,-52.326668,Guiana
COL10620,5.545,-72.928,Lago de Tota
LKA12442,6.2,81.12,Galwewa
LKA12448,6.2,81.05,Bolhinda
LKA12425,6.2333,81.12,Udanawewa
LKA12441,6.2333,81.1,Gonnoruwa
LKA12458,6.2667,81.03,Svodagama
LKA12439,6.3,81.02,Wawegama
LKA12427,6.3167,81.03,Kudaindiwewa
LKA12437,6.3167,81.12,Palujadura
LKA12440,6.3167,81.18,Muvanwewa
LKA12453,6.3333,81.12,Lunuveraniya
LKA12455,6.3333,81.02,Weliwewa
LKA12454,6.35,81.15,Medagankadavara
LKA12450,6.3667,80.8,Mahagalara
LKA12432,6.4167,81.05,Galwalewewa
LKA12433,6.4167,81.08,Bodhagamawewa
LKA12431,6.4333,81.3,Akkaravissawewa
LKA12457,6.4333,81.32,Dozerwewa
LKA12449,6.45,81.07,Meegaswewa
GHA10942,6.505,-1.4083,Bosumtwi
LKA12426,6.55,81.07,Watagalaarawewa
LKA12443,6.55,81.12,Walaskemawewa
LKA12447,6.6833,81.1,Batalaarawewa
LKA12435,6.7333,81.13,Senasumawewa
LKA12417,6.77010478,79.90475505,Bolgoda North Lake
LKA12429,7.6,80.05,Divulwewa
LKA12424,7.6167,80.17,Hindagahawewa
LKA12423,7.7,80.13,Withikuliyawewa
LKA12451,7.8,80.27,Kekunawa
LKA12418,7.8167,80.42,Wavullewawewa
LKA12421,7.8333,80.4,Kumbalporuwa
LKA12446,7.85,80.4,Matuluwawa
LKA12430,7.8833,80.52,Gambirigaswewa
LKA12422,7.9,80.6,Hinguruvelpitiya
LKA12428,7.9667,80.68,Buruthawewa
LKA12456,8.0333,80.3,Pahalawewa
LKA12420,8.0833,80.17,Ihalamaradankadawala
LKA12436,8.15,80.52,Bulankulama
LKA12419,8.1667,80.55,Karambegama
LKA12434,8.1667,80.52,Meegassegama
LKA12452,8.1833,80.58,Pahalasandalamkulama
LKA12438,8.2333,80.38,Katugampalagama
LKA12444,8.2833,80.35,Meegahawewa
LKA12445,8.35,80.37,Lolugaswewa
IND10975,8.5206,76.8857312,Akkullam Veli Lake
ETH10753,8.694,39.003,Lake Arenguade
USA23874,9.68556,106.689,Mekong River
NGA12083,10.63333333,7.7,Zaria dam
NGA12082,11.13333333,7.71666667,ABU dam
NGA12080,11.2,7.63333333,Bomo lake
NGA12081,11.2,7.6,Makwaye lake
NIC12079,11.93800515,-85.90056075,Nicaragua
ETH10752,12.0266,37.3035,Tana
GTM10967,14.668,-91.229,Atitla
USA12606,15.15297,145.7105,"Lake Susupe, Saipan, CNMI"
MEX11318,16.0853,-91.67519,LAGUNAS DE MONTEBELLO NATIONAL PARK 2
MEX11319,16.08659,-91.66927,LAGUNAS DE MONTEBELLO NATIONAL PARK 1
MEX11566,16.10183,-91.66891,LAGUNAS DE MONTEBELLO NATIONAL PARK 4
MEX11323,16.10671,-91.7059,LAGUNAS DE MONTEBELLO NATIONAL PARK 3
MEX11786,16.12011,-91.729128,LAGUNAS DE MONTEBELLO NATIONAL PARK 5
MEX11830,16.12743,-91.73166,LAGUNAS DE MONTEBELLO NATIONAL PARK 7
MEX11803,16.12784,-91.782,LAKES OF MONTEBELLO
MEX11309,16.12924,-91.758439,LAGUNAS DE MONTEBELLO NATIONAL PARK 6
MEX11310,16.1501,-91.7739,LAGUNAS DE MONTEBELLO NATIONAL PARK 8
MEX11242,16.31672,-92.8685,Angostura Reservoir
MEX11201,16.40609,-91.27607,LAKE MIRAMAR 1
MEX11202,16.4173,-91.26377,LAKE MIRAMAR 2
MEX11155,16.44455,-95.399086,BENITO JUAREZ CORTINA DAM
MEX11156,16.4507,-95.4032,BENITO JUAREZ 4 DAM
MEX11157,16.4791,-95.4495,BENITO JUAREZ DAM 3
MEX11158,16.5252,-95.4614,BENITO JUAREZ 2 DAM
MEX11826,16.88565,-93.10415,AMIKUU ECOLOGICAL PARK
MEX11820,16.8903,-93.11468,WRIST FAILURE
MEX11234,16.89441,-93.05663,RIO HONDO DOWNLOAD
MEX11233,16.90213,-93.0919,CHICOASEN DAM 2
MEX11235,16.92513,-93.09783,C.H. CHICOASEN WATERS UP
MEX11567,16.93472,-93.09297,OSUMACINTA ECOLOGICAL PARK
MEX11232,16.93494,-93.09962,C.H. CHICOASEN (FTE. A LA CORTINA)
MEX11568,16.9565,-91.594169,FLORA AND FAUNA PROTECTION AREA NAHA AND METZABOK 
MEX11181,17.04103,-93.80875,Malpaso
MEX11140,17.41315,-93.4324,PEÑITAS DAM 2
MEX11142,17.4269,-93.43682,PEÑITAS DAM 1
MEX11141,17.43704,-93.42386,PEÑITAS DAM 3
MEX11520,17.72761,-92.01282,LAGOON COLORADA 3
MEX11569,17.73188,-97.81091,VASO PRESA YOSOCUTA TOMA WORK
MEX11521,17.74799,-92.013717,LAGOON COLORADA 4
MEX11522,17.77308,-92.02444,LAGOON COLORADA 5
MEX11089,17.87208,-94.341783,LAGOON OF MEZCALAPA 3
MEX11091,17.87817,-94.3253,LAGOON OF MEZCALAPA 2
MEX11090,17.89339,-94.33279,LAGOON OF MEZCALAPA 1
MEX11098,17.90019,-93.178447,CACTUS (ENTRY)
MEX11100,17.90174,-93.171499,CACTUS II
MEX11099,17.90261,-93.176617,CACTUS I
MEX11841,17.92881,-92.9158,GRILL 4
MEX11086,17.94034,-92.91672,THE GRILL 6
MEX11570,17.94775,-102.2226,LAGOON COSTERA EL CAIMAN 2
MEX11571,17.9501,-92.91592,THE GRILL 5
MEX11241,17.95039,-99.990801,THE SNAIL DAM 2
MEX11572,17.95108,-100.01574,THE SNAIL DAM 4
MEX11573,17.95413,-102.2376,LAGOON COSTERA EL CAIMAN 1
MEX11574,17.95471,-100.02019,THE SNAIL DAM 3
MEX11575,17.96404,-99.993353,SNAIL DAM 1
MEX11137,17.97104,-96.25887,Miguel de la Madrid
USA20173,17.97108,-66.66934,LAGUNA DE LAS SALINAS STATION 7
USA20174,17.97191,-66.66795,LAGUNA DE LAS SALINAS STATION 2
USA13093,18.01941,-66.01711,"LAGO PATILLAS 1 NR SPILLWAY, PATILLAS, PR"
MEX11576,18.02432,-102.19073,RIO BALSAS PUENTE VIEJO
USA13092,18.02524,-66.02683,"LAGO PATILLAS 2 AT RIO PATILLAS, PATILLAS, PR"
MEX11577,18.04837,-102.18002,LA VILLITA DAM 3
MEX11125,18.04874,-102.18127,LA VILLITA DAM 2
MEX11126,18.0548,-102.18153,LA VILLITA CENTRO DAM
MEX11129,18.05757,-102.19029,LA VILLITA DAM 6
MEX11229,18.06328,-100.51104,ANDRES FIGUEROA DAM 7
PRI12220,18.06469,-66.09878,"LAGO CARITE 2 NR TUNNEL, GUAYAMA, PR"
MEX11231,18.06928,-100.5211,ANDRES FIGUEROA 2 DAM
MEX11226,18.07012,-100.50632,ANDRES FIGUEROA 6 DAM
MEX11227,18.07221,-100.51402,ANDRES FIGUEROA 4 DAM
MEX11230,18.07406,-100.51877,ANDRES FIGUEROA 1 DAM
MEX11225,18.0753,-100.50756,ANDRES FIGUEROA 5 DAM
USA19445,18.07552,-66.10489,"LAGO CARITE NO. 1 NR DAMSITE NR CAYEY, PR"
USA19447,18.07552,-66.10489,"LAGO CARITE 1 NR DAM, GUAYAMA, PR"
MEX11228,18.07571,-100.51387,ANDRES FIGUEROA 3 DAM
USA19446,18.08246,-66.10044,"LAGO CARITE NO. 3 AT RIO DE LA PLATA NR CAYEY, PR"
USA19448,18.08246,-66.10044,"LAGO CARITE 3 ON RIO DE LA PLATA, GUAYAMA, PR"
USA14063,18.086925,-66.578098,Cerrillos Reservoir
USA13905,18.09246,-66.86407,"LAGO LUCHETTI 1 NR DAM, YAUCO, PR"
USA13906,18.09607,-66.86907,"LAGO LUCHETTI 2, YAUCO, PR"
USA13904,18.10191,-66.87101,"LAGO LUCHETTI 3 NR RIO YAUCO MOUTH, YAUCO, PR"
MEX11578,18.1111,-94.33087,LA CANGREJERA DAM
MEX11127,18.11645,-102.18375,LA VILLITA 1 DAM
MEX11579,18.12908,-94.39826,LAGOON PAJARITOS
USA19652,18.13329,-66.74656,"LAGO GARZAS 2 RIO DE LAS VACAS BRH, ADJUNTAS, PR"
MEX11124,18.13686,-102.17062,RIO BALSAS 12 BIS
USA19650,18.13718,-66.74267,"LAGO GARZAS 1 NEAR DAM, ADJUNTAS, PR"
USA19651,18.13718,-66.74267,"LAGO GARZAS NO. 1 NR DAMSITE NR ADJUNTAS, PR"
MEX11128,18.1672,-102.15715,LA VILLITA 5 DAM
PRI12221,18.1819,-66.13461,"LAGO DE CIDRA NR RIO BAYAMON MOUTH, PR"
PRI12226,18.18301,-66.14767,"LAGO DE CIDRA NR RIO SABANA MOUTH, PR"
USA18768,18.19329,-66.83712,"LAGO GUAYO 3 ON RIO GUAYO BRANCH, ADJUNTAS, PR"
USA18213,18.19579,-66.13961,"LAGO DE CIDRA NR DAMSITE, PR"
PRI12219,18.1969,-66.14072,"LAGO DE CIDRA AT DAMSITE NR CIDRA, PR"
MEX11134,18.19758,-96.455903,Presa Miguel Aleman
PRI12224,18.19773,-66.13156,"LAGO DE CIDRA NR QUEBRADA PRIETA MOUTH, PR"
USA18770,18.20023,-66.83379,"LAGO GUAYO 2 NR CENTER OF LAKE, ADJUNTAS, PR"
USA18769,18.20912,-66.83573,"LAGO GUAYO 1 NR DAM, LARES, PR"
MEX11516,18.23678,-92.65871,PANTANOS DE CENTLA 4 BIOSPHERE RESERVE
MEX11785,18.26819,-101.90316,INFIERNILLO DAM 2
MEX11580,18.26888,-101.89285,INFIERNILLO DAM 3
PRI12217,18.27884,-66.00933,"LAGO LOIZA NO. 4 NR MOUTH NR CAGUAS, PR"
MEX11581,18.29656,-99.463868,VALERIO TRUJANO 1 DAM
MEX11582,18.29875,-99.458903,VALERIO TRUJANO 2 DAM
MEX11583,18.30916,-99.42946,VALERIO TRUJANO 4 DAM
MEX11584,18.31167,-99.459502,VALERIO TRUJANO 3 DAM
USA13310,18.31884,-66.66934,"LAGO DOS BOCAS NO. 3 AT WEST BRANCH NR UTUADO, PR"
USA13312,18.31884,-66.66934,"LAGO DOS BOCAS 3 AT WEST BRANCH, UTUADO, PR"
USA13311,18.3219,-66.65628,"LAGO DOS BOCAS 2 AT EAST BRANCH, UTUADO, PR"
PRI12222,18.32273,-66.01267,"LAGO LOIZA NO. 7 NR DAMSITE NR TRUJILLO ALTO, PR"
PRI12225,18.32384,-66.20739,"LAGO LA PLATA NO. 5 NR MOUTH NR NARANJITO, PR"
PRI12227,18.32384,-66.20739,"LAGO LA PLATA 5, TOA ALTA, PR"
USA12949,18.32856,-66.23461,"LAGO LA PLATA 3 NR DAM NR NARANJITO, TOA ALTA, PR"
USA13313,18.33328,-66.6674,"LAGO DOS BOCAS 1 NR DAM, ARECIBO, PR"
USA13309,18.33384,-66.6674,"LAGO DOS BOCAS NO. 1 NR DAMSITE NR UTUADO, PR"
USA12948,18.33634,-66.23322,"LAGO LA PLATA NO. 3 NR DAMSITE NR NARANJITO, PR"
MEX11253,18.35819,-99.481937,LAKE OF TUXPAN 2
PRI12218,18.36606,-66.90962,"LAGO GUAJATACA NO. 3 NR MOUTH NR QUEBRADILLAS, PR"
PRI12223,18.36606,-66.90962,"LAGO GUAJATACA 3 NR RIO GUAJATACA, SAN SEBASTIAN,P"
MEX11585,18.3673,-99.49746,LAKE OF TUXPAN 1
MEX11079,18.36755,-92.57543,PANTANOS DE CENTLA BIOSPHERE RESERVE 6
MEX11586,18.37987,-100.26373,VICENTE GUERRERO 1 DAM
USA14238,18.38078,-66.92184,"LAGO GUAJATACA 2 NR CENTER/LAKE, SAN SEBASTIAN, PR"
MEX11236,18.38163,-100.25531,VICENTE GUERRERO DAM 2
MEX11587,18.3836,-100.26709,VICENTE GUERRERO DAM - DERIVATION CHANNEL
MEX11836,18.38748,-100.22753,VICENTE GUERRERO 4 DAM
MEX11857,18.38969,-100.23794,VICENTE GUERRERO DAM 3
USA14236,18.39689,-66.92268,LAGO GUAJATACA NO. 1 NR DAMSITE NR QUEBRADILLAS PR
USA14237,18.39689,-66.92268,"LAGO GUAJATACA 1 NEAR DAM, ISABELA, PR"
MEX11529,18.4,-95.13333333,Chalchoapan
MEX11222,18.41595,-95.06958,Catemaco
MEX11588,18.41616,-95.11869,CATEMACO (BRIDGE)
MEX11180,18.41975,-101.8911,Inhernillo
MEX11589,18.42492,-100.99958,LA CALERA DAM-DERIVATION CANAL
USA12587,18.45335,-66.18948,"LEVITTOWN LAKE 1, TOA BAJA, PR"
USA12588,18.45993,-66.19119,"LEVITTOWN LAKE 3, TOA BAJA, PR"
USA20176,18.46245,-66.43017,"LAGUNA TORTUGUERO STATION NO. 5, PR"
USA20177,18.46272,-66.4635,"LAGUNA TORTUGUERO STATION NO. 2, PR"
USA20175,18.46328,-66.44406,"LAGUNA TORTUGUERO STATION NO. 4, PR"
MEX11130,18.47998,-90.21145,LAGOON CHAMA-HA
MEX11082,18.48211,-95.98472,MARIA LIZAMBA 4
MEX11590,18.49069,-96.01511,MARIA LIZAMBA 1
MEX11804,18.49958,-90.27154,LAGOON LAS MARAVILLAS
MEX11083,18.49977,-96.02932,MARIA LIZAMBA 3
MEX11084,18.5036,-95.990571,MARIA LIZAMBA 2
MEX11591,18.51464,-88.42697,LAGOON MILAGROS (BALNEAREOS)
MEX11528,18.51666667,-95.38333333,Colorada
MEX11526,18.55,-95.35,Mogo
MEX11277,18.58528,-98.71334,CORTINA CAYEHUACAN DAM
MEX11262,18.60272,-99.26086,TEQUESQUITENGO LAKE - 2
MEX11592,18.60705,-88.42907,LAGUNA BACALAR 1
MEX11278,18.60751,-98.70934,LOS CARROS DAM TOMA WORK
MEX11263,18.61261,-99.26207,TEQUESQUITENGO LAKE - 3
MEX11264,18.61826,-99.28172,TEQUESQUITENGO LAKE - EXIT
MEX11265,18.62645,-99.27157,TEQUESQUITENGO (TO THE LAG CENTER)
MEX11266,18.62961,-99.25697,TEQUESQUITENGO LAKE (NORTH ENTRANCE)
MEX11267,18.63374,-99.27025,TEQUESQUITENGO LAKE - 1 (NW)
MEX11117,18.64079,-90.29456,EJIDO LOPEZ MATEOS
MEX11116,18.64156,-90.27489,LAGUNA CENTENARIO KM. fifty
MEX11593,18.64657,-98.7514,ABREVADERO DAM
MEX11530,18.65,-95.23333333,Manantiales
MEX11531,18.65,-95.3,Majahual
MEX11594,18.65393,-103.70012,STERO MEZCALA
MEX11595,18.65686,-103.70335,STERO MEZCALA 3
MEX11596,18.65839,-103.702,STERO MEZCALA 1
MEX11597,18.65992,-103.7019,STERO MEZCALA 2
MEX11088,18.66557,-95.46394,LAGOON EL MARQUES
MEX11525,18.67969,-88.38446,LAGUNA BACALAR (EJIDAL SPA)
MEX11204,18.69471,-101.607,DAM EL CUERAMAL 5
MEX11206,18.69836,-101.6123,PREA EL CUERAMAL 2
MEX11598,18.70134,-101.61848,PREY EL CUERAMAL 1
MEX11794,18.70468,-101.6078,PREY THE CUERAMAL 4
MEX11205,18.70666,-101.61172,DAM EL CUERAMAL 3
MEX11268,18.74361,-99.33588,COATETELCO (TO THE LAGUNA CENTER)
MEX11599,18.76496,-99.32953,EL RODEO DAM-TOMA WORK
MEX11097,18.81111,-103.7732,LAGOON OF AMELA
MEX11600,18.81138,-90.64638,CENOTE MIGUEL COLORADO
MEX11601,18.82113,-97.16382,LAGUNA DE NOGALES I (RECREATIONAL)
MEX11602,18.84575,-97.03917,TUXPANGO 2 DAM
MEX11603,18.84655,-97.04002,TUXPANGO DAM
MEX11604,18.87877,-88.23729,BACALAR LAGOON 2
